이름,경도,위도
(주)로얄관광,127.4867309,36.63856141
(주)속리산 관광개발,127.4854455,36.63644415
(주)세림항공여행사,127.4852669,36.63633717
(합자)국광여행사,127.4866429,36.63609737
충일관광(주),127.4895912,36.64150311
청주시청 청주랜드관리사업소(청주동물원),127.5231575,36.65207552
주식회사 와와플레이,127.5165199,36.65110814
하이키즈 엔터테인먼트,127.4845701,36.63906498
주식회사 이플랜,127.4902473,36.65597546
주식회사 와와플레이,127.5165199,36.65110814
주식회사 이플랜,127.4512336,36.67420777
나나랜드,127.5165199,36.65110814
노리존 청주,127.489242,36.63797731
국립상당산성자연휴양림,127.546943,36.67820881
주식회사 경원실업(이븐데일CC),127.6069537,36.68929268
보현사,127.5009061,36.65064485
복천암,127.5000532,36.64332046
화림사,127.581999,36.57214837
보살사,127.5362197,36.62841016
월리사,127.5310038,36.46487118
현암사,127.4768838,36.4803907
동화사,127.4852919,36.54559854
백족사,127.5840717,36.593065
안심사,127.5362197,36.62841016
백족사,127.5603543,36.59427106
보살사,127.5362197,36.62841016
용암사,127.497075,36.65061356
보살사,127.5137248,36.63779352
용화사,127.4820769,36.64170527
보현사,127.5009061,36.65064485
용암사,127.497075,36.65061356
복천암,127.5000532,36.64332046
동화사,127.4852919,36.54559854
청원문화원,127.5060464,36.598441
주식회사 지에이치,127.4059864,36.58544533
청룡사,127.3794838,36.60626533
연화사,127.4119519,36.63481557
안심사,127.4132448,36.55240795
청룡사,127.3794838,36.60626533
(주)상수허브랜드,127.42582,36.53082565
주식회사 이플랜,127.3233675,36.63115239
(주)오창로하스파,127.4290432,36.71426241
청주 충청도병마절도사영문,127.4889056,36.63262116
청주 용암사 석조비로자나불좌상,127.4889341,36.6424703
청주 보살사 석조이불병립상,127.5361276,36.62860688
청주 탑동 오층석탑,127.4979206,36.62965529
청주 안심사 세존사리탑,127.4130207,36.5524094
청주향교,127.4975102,36.63713631
청주 문의문산관,127.4939874,36.50858656
청주 보살사 극락보전,127.5361276,36.62860688
청주 월리사 대웅전,127.5311853,36.46482091
청주 최명길신도비,127.5199968,36.7439305
청주 보살사 오층석탑,127.5361276,36.62860688
청주 문의향교,127.4965331,36.51569503
청주 묵정영당,127.6296562,36.61432736
청주 청녕각,127.4880567,36.634535
청주 망선루,127.4902345,36.62882199
청주 지선정,127.4084357,36.4788288
청주 안심사 비로전,127.4130207,36.5524094
청주 정하동 마애비로자나불좌상,127.7513239,35.06730705
청주 탑동 양관,127.4989301,36.62842555
청주 운천동 신라사적비,127.5105284,36.65120194
을축갑회도 및 죽림갑계문서,127.5233324,36.72061332
을축갑회도,127.4311392,36.64148524
청주 조헌 전장기적비,127.4877628,36.63224735
청주 신전동 고가,127.4018525,36.60886736
청주 신형호 고가,127.5571813,36.55868235
청주 성공회 성당,127.4944332,36.63856384
청주 순치명 석조여래입상,127.5252161,36.63526957
정수충 초상 및 중모기,127.4372076,36.63093808
윤관 초상,127.4946105,36.62428032
청주 신중엄 신도비,127.6306735,36.61434001
박숭원 호성공신교서,127.4939874,36.50858656
청주 동화사석조비로자나불좌상,127.4852539,36.54558698
청주 청주한씨 시조제단비,127.516516,36.6065076
청주 서기사 석조약사여래좌상,127.5132893,36.67296109
눌재강수유고 목판,127.4889341,36.6424703
청주 박훈 신도비,127.3515281,36.65988537
청주 노현리 고가,127.4939874,36.50858656
청주 부강리 고가,127.4939874,36.50858656
청주 문산리 돌다리,127.4939874,36.50858656
송상현 문적,127.4722688,36.64367273
묘법연화경 권2ㆍ4ㆍ5ㆍ6,127.4973664,36.65482589
몽산화상육도보설,127.5068668,36.62995109
청주 목우사지 석조여래입상,127.501982,36.63874864
청주 모충동 석조비로자나불좌상,127.4740275,36.62768887
묘법연화경 권4~7,127.4722688,36.64367273
불설대보부모은중경,127.4722688,36.64367273
법계성범수륙승회수재의궤,127.4722688,36.64367273
불설대보부모은중경,127.5072366,36.62152403
몽산화상육도보설,127.3305245,36.63127144
묘법연화경 권3～4,127.3305245,36.63127144
천지명양수륙재의찬요,127.4889341,36.6424703
현수제승법수,127.3305245,36.63127144
청주 안심사 법고,127.4130207,36.5524094
묘법연화경 권4~7,127.5072366,36.62152403
청주 신항서원 묘정비,127.5260373,36.63599586
대불정여래밀인수증료의제보살만행수능엄경 권9～10,127.4973642,36.63878597
예념미타도량참법,127.4973642,36.63878597
"자치통감강목 권27, 권47",127.4973664,36.65482589
이문건 부부묘 출토 유물,127.4561645,36.62434311
이문건가 족보,127.4561645,36.62434311
신간대자명심보감,127.4722688,36.64367273
당음비사,127.4722688,36.64367273
대방광원각수다라요의경,127.4722688,36.64367273
충의직언,127.4722688,36.64367273
